category,question,answer,processed_question,processed_answer
prevention,How to prevent Parasites - Cysticercosis ?,"To prevent cysticercosis, the following precautions should be taken:
    
     - Wash your hands with soap and warm water after using the toilet, changing diapers, and before handling food
     - Teach children the importance of washing hands to prevent infection
     - Wash and peel all raw vegetables and fruits before eating
     - Use good food and water safety practices while traveling in developing countries such as: 
      
       - Drink only bottled or boiled (1 minute) water or carbonated (bubbly) drinks in cans or bottles
       - Filter unsafe water through an ""absolute 1 micron or less"" filter AND dissolve iodine tablets in the filtered water; ""absolute 1 micron"" filters can be found in camping and outdoor supply stores
      
    
    
More on: Handwashing
    
More on: Food and Water Safety",prevent parasite cysticercosis,prevent cysticercosis following precaution taken wash hand soap warm water using toilet changing diaper handling food teach child importance washing hand prevent infection wash peel raw vegetable fruit eating use good food water safety practice traveling developing country drink bottled boiled minute water carbonated bubbly drink can bottle filter unsafe water absolute micron less filter dissolve iodine tablet filtered water absolute micron filter found camping outdoor supply store handwashing food water safety
information,What is (are) Parasites - Trichuriasis (also known as Whipworm Infection) ?,Whipworm (Trichuris trichiura) is an intestinal parasite of humans. The larvae and adult worms live in the intestine of humans and can cause intestinal disease. The name is derived from the worm’s distinctive whip-like shape.,parasite trichuriasis also known whipworm infection,whipworm trichuris trichiura intestinal parasite human larva adult worm live intestine human cause intestinal disease name derived worm distinctive whip like shape
susceptibility,Who is at risk for Parasites - Trichuriasis (also known as Whipworm Infection)? ?,"Whipworm is a soil-transmitted helminth (STH) and is the third most common roundworm of humans. Whipworm causes an infection called trichuriasis and often occurs in areas where human feces is used as fertilizer or where defecation onto soil happens. The worms are spread from person to person by fecal-oral transmission or through feces-contaminated food.
    Geographic Distribution
Worldwide, infection occurs more frequently in areas with tropical weather and poor sanitation practices, and among children. In 2002, the estimated number of persons infected with whipworm was 1 billion. Trichuriasis also occurs in the southern United States.",risk parasite trichuriasis also known whipworm infection,whipworm soil transmitted helminth sth third common roundworm human whipworm cause infection called trichuriasis often occurs area human feces used fertilizer defecation onto soil happens worm spread person person fecal oral transmission feces contaminated food geographic distribution worldwide infection occurs frequently area tropical weather poor sanitation practice among child estimated number person infected whipworm billion trichuriasis also occurs southern united state
exams and tests,How to diagnose Parasites - Trichuriasis (also known as Whipworm Infection) ?,"The standard method for diagnosing the presence of whipworm is by microscopically identifying whipworm eggs in a stool sample. Because eggs may be difficult to find in light infections, a concentration procedure is recommended.",diagnose parasite trichuriasis also known whipworm infection,standard method diagnosing presence whipworm microscopically identifying whipworm egg stool sample egg may difficult find light infection concentration procedure recommended
treatment,What are the treatments for Parasites - Trichuriasis (also known as Whipworm Infection) ?,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment. Infections are generally treated for 3 days. The recommended medications are effective. Health care providers may decide to repeat a stool exam after treatment. Iron supplements may also be prescribed if the infected person suffers from anemia.
    
More on: Resources for Health Professionals: Treatment",treatment parasite trichuriasis also known whipworm infection,anthelminthic medication drug rid body parasitic worm albendazole mebendazole drug choice treatment infection generally treated day recommended medication effective health care provider may decide repeat stool exam treatment iron supplement may also prescribed infected person suffers anemia resource health professional treatment
prevention,How to prevent Parasites - Trichuriasis (also known as Whipworm Infection) ?,"The best way to prevent whipworm infection is to always:
    
     - Avoid ingesting soil that may be contaminated with human feces, including where human fecal matter (""night soil"") or wastewater is used to fertilize crops.
     - Wash your hands with soap and warm water before handling food.
     - Teach children the importance of washing hands to prevent infection.
     - Wash, peel, or cook all raw vegetables and fruits before eating, particularly those that have been grown in soil that has been fertilized with manure.
    
    
More on: Handwashing
    
Transmission of infection to others can be prevented by
    
     - Not defecating outdoors.
     - Effective sewage disposal systems.",prevent parasite trichuriasis also known whipworm infection,best way prevent whipworm infection always avoid ingesting soil may contaminated human feces including human fecal matter night soil wastewater used fertilize crop wash hand soap warm water handling food teach child importance washing hand prevent infection wash peel cook raw vegetable fruit eating particularly grown soil fertilized manure handwashing transmission infection others prevented defecating outdoors effective sewage disposal system
information,what are marine toxins?,"Marine toxins are naturally occurring chemicals that can contaminate certain seafood. The seafood contaminated with these chemicals frequently looks, smells, and tastes normal. When humans eat such seafood, disease can result.",marine toxin,marine toxin naturally occurring chemical contaminate certain seafood seafood contaminated chemical frequently look smell taste normal human eat seafood disease result
exams and tests,how can these diseases be diagnosed for Marine Toxins ?,"Diagnosis of marine toxin poisoning is generally based on symptoms and a history of recently eating a particular kind of seafood. Laboratory testing for the specific toxin in patient samples is generally not necessary because this requires special techniques and equipment available in only specialized laboratories. If suspect, leftover fish or shellfish are available, they can be tested for the presence of the toxin more easily. Identification of the specific toxin is not usually necessary for treating patients because there is no specific treatment.",disease diagnosed marine toxin,diagnosis marine toxin poisoning generally based symptom history recently eating particular kind seafood laboratory testing specific toxin patient sample generally necessary requires special technique equipment available specialized laboratory suspect leftover fish shellfish available tested presence toxin easily identification specific toxin usually necessary treating patient specific treatment
treatment,how can these diseases be treated for Marine Toxins ?,"Other than supportive care there are few specific treatments for ciguatera poisoning, paralytic shellfish poisoning, neurotoxic shellfish poisoning, or amnesic shellfish poisoning. Antihistamines and epinephrine, however, may sometimes be useful in treating the symptoms of scombrotoxic fish poisoning. Intravenous mannitol has been suggested for the treatment of severe ciguatera poisoning.",disease treated marine toxin,supportive care specific treatment ciguatera poisoning paralytic shellfish poisoning neurotoxic shellfish poisoning amnesic shellfish poisoning antihistamine epinephrine however may sometimes useful treating symptom scombrotoxic fish poisoning intravenous mannitol suggested treatment severe ciguatera poisoning
frequency,how common are these diseases for Marine Toxins ?,"Every year, approximately 30 cases of poisoning by marine toxins are reported in the United States. Because healthcare providers are not required to report these illnesses and because many milder cases are not diagnosed or reported, the actual number of poisonings may be much greater. Toxic seafood poisonings are more common in the summer than winter because dinoflagelates grow well in warmer seasons. It is estimated from cases with available data that one person dies every 4 years from toxic seafood poisonings.",common disease marine toxin,every year approximately case poisoning marine toxin reported united state healthcare provider required report illness many milder case diagnosed reported actual number poisoning may much greater toxic seafood poisoning common summer winter dinoflagelates grow well warmer season estimated case available data one person dy every year toxic seafood poisoning
prevention,what can i do to prevent poisoning by marine toxins?,General guidelines for safe seafood consumption:,prevent poisoning marine toxin,general guideline safe seafood consumption
information,what is the government doing about these diseases for Marine Toxins ?,"Some health departments test shellfish harvested within their jurisdiction to monitor the level of dinoflagellate toxins and asses the risk for contamination. Based on the results of such testing, recreational and commercial seafood harvesting may be prohibited locally during periods of risk. State and federal regulatory agencies monitor reported cases of marine toxin poisoning, and health departments investigate possible outbreaks and devise control measures. The Centers for Disease Control and Prevention (CDC) provides support to investigators as needed.",government disease marine toxin,health department test shellfish harvested within jurisdiction monitor level dinoflagellate toxin ass risk contamination based result testing recreational commercial seafood harvesting may prohibited locally period risk state federal regulatory agency monitor reported case marine toxin poisoning health department investigate possible outbreak devise control measure center disease control prevention cdc provides support investigator needed
prevention,what else can be done to prevent these diseases for Marine Toxins ?,"It is important to notify public health departments about even one person with marine toxin poisoning. Public health departments can then investigate to determine if a restaurant, oyster bed, or fishing area has a problem. This prevents other illnesses. In any food poisoning occurrence, consumers should note foods eaten and freeze any uneaten portions in case they need to be tested. A commercial test has been developed in Hawaii to allow persons to test sport caught fish for ciguatoxins.",else done prevent disease marine toxin,important notify public health department even one person marine toxin poisoning public health department investigate determine restaurant oyster bed fishing area problem prevents illness food poisoning occurrence consumer note food eaten freeze uneaten portion case need tested commercial test developed hawaii allow person test sport caught fish ciguatoxins
information,What is (are) Yellow Fever Vaccination ?,"If you continue to live or travel in yellow fever-endemic areas, you should receive a booster dose of yellow fever vaccine after 10 years.
                
After receiving the vaccine, you should receive an International Certificate of Vaccination (yellow card) that has been validated by the vaccination center. This Certificate becomes valid 10 days after vaccination and lasts for 10 years. You will need this card as proof of vaccination to enter certain countries.",yellow fever vaccination,continue live travel yellow fever endemic area receive booster dose yellow fever vaccine year receiving vaccine receive international certificate vaccination yellow card validated vaccination center certificate becomes valid day vaccination last year need card proof vaccination enter certain country
information,What is (are) Parasites - Schistosomiasis ?,"Schistosomiasis, also known as bilharzia, is a disease caused by parasitic worms. Infection with Schistosoma mansoni, S. haematobium, and S. japonicum causes illness in humans; less commonly, S. mekongi and S. intercalatum can cause disease. Although the worms that cause schistosomiasis are not found in the United States, more than 200 million people are infected worldwide.",parasite schistosomiasis,schistosomiasis also known bilharzia disease caused parasitic worm infection schistosoma mansoni haematobium japonicum cause illness human less commonly mekongi intercalatum cause disease although worm cause schistosomiasis found united state million people infected worldwide
susceptibility,Who is at risk for Parasites - Schistosomiasis? ?,"Schistosomiasis is an important cause of disease in many parts of the world, most commonly in places with poor sanitation. School-age children who live in these areas are often most at risk because they tend to spend time swimming or bathing in water containing infectious cercariae.
If you live in, or travel to, areas where schistosomiasis is found and are exposed to contaminated freshwater, you are at risk.
   
Areas where human schistosomiasis is found include:
   
    - Schistosoma mansoni 
     
      - distributed throughout Africa: There is risk of infection in freshwater in southern and sub-Saharan Africa–including the great lakes and rivers as well as smaller bodies of water. Transmission also occurs in the Nile River valley in Sudan and Egypt
      - South America: including Brazil, Suriname, Venezuela
      - Caribbean (risk is low): Dominican Republic, Guadeloupe, Martinique, and Saint Lucia.
     
    - S. haematobium 
     
      - distributed throughout Africa: There is risk of infection in freshwater in southern and sub-Saharan Africa–including the great lakes and rivers as well as smaller bodies of water. Transmission also occurs in the Nile River valley in Egypt and the Mahgreb region of North Africa.
      - found in areas of the Middle East
     
    - S. japonicum 
     
      - found in Indonesia and parts of China and Southeast Asia
     
    - S. mekongi 
     
      - found in Cambodia and Laos
     
    - S. intercalatum 
     
      - found in parts of Central and West Africa.",risk parasite schistosomiasis,schistosomiasis important cause disease many part world commonly place poor sanitation school age child live area often risk tend spend time swimming bathing water containing infectious cercaria live travel area schistosomiasis found exposed contaminated freshwater risk area human schistosomiasis found include schistosoma mansoni distributed throughout africa risk infection freshwater southern sub saharan africa including great lake river well smaller body water transmission also occurs nile river valley sudan egypt south america including brazil suriname venezuela caribbean risk low dominican republic guadeloupe martinique saint lucia haematobium distributed throughout africa risk infection freshwater southern sub saharan africa including great lake river well smaller body water transmission also occurs nile river valley egypt mahgreb region north africa found area middle east japonicum found indonesia part china southeast asia mekongi found cambodia lao intercalatum found part central west africa
exams and tests,How to diagnose Parasites - Schistosomiasis ?,"Stool or urine samples can be examined microscopically for parasite eggs (stool for S. mansoni or S. japonicum eggs and urine for S. haematobium eggs). The eggs tend to be passed intermittently and in small amounts and may not be detected, so it may be necessary to perform a blood (serologic) test.
    
More on: Resources for Health Professionals: Diagnosis",diagnose parasite schistosomiasis,stool urine sample examined microscopically parasite egg stool mansoni japonicum egg urine haematobium egg egg tend passed intermittently small amount may detected may necessary perform blood serologic test resource health professional diagnosis
treatment,What are the treatments for Parasites - Schistosomiasis ?,"Safe and effective medication is available for treatment of both urinary and intestinal schistosomiasis. Praziquantel, a prescription medication, is taken for 1-2 days to treat infections caused by all Schistosoma species.
    
More on: Resources for Health Professionals: Treatment",treatment parasite schistosomiasis,safe effective medication available treatment urinary intestinal schistosomiasis praziquantel prescription medication taken day treat infection caused schistosoma specie resource health professional treatment
prevention,How to prevent Parasites - Schistosomiasis ?,"Prevention
    
No vaccine is available.
    
The best way to prevent schistosomiasis is to take the following steps if you are visiting or live in an area where schistosomiasis is transmitted:
    
     - Avoid swimming or wading in freshwater when you are in countries in which schistosomiasis occurs. Swimming in the ocean and in chlorinated swimming pools is safe.
     - Drink safe water. Although schistosomiasis is not transmitted by swallowing contaminated water, if your mouth or lips come in contact with water containing the parasites, you could become infected. Because water coming directly from canals, lakes, rivers, streams, or springs may be contaminated with a variety of infectious organisms, you should either bring your water to a rolling boil for 1 minute or filter water before drinking it. Bring your water to a rolling boil for at least 1 minute will kill any harmful parasites, bacteria, or viruses present. Iodine treatment alone WILL NOT GUARANTEE that water is safe and free of all parasites.
     - Water used for bathing should be brought to a rolling boil for 1 minute to kill any cercariae, and then cooled before bathing to avoid scalding. Water held in a storage tank for at least 1 - 2 days should be safe for bathing.
     - Vigorous towel drying after an accidental, very brief water exposure may help to prevent the Schistosoma parasite from penetrating the skin. However, do not rely on vigorous towel drying alone to prevent schistosomiasis.
    
    
Those who have had contact with potentially contaminated water overseas should see their health care provider after returning from travel to discuss testing.
    
More on: Schistosomiasis in Travelers
   
  
  
   Control
   
In countries where schistosomiasis causes significant disease, control efforts usually focus on:
   
    - reducing the number of infections in people and/or
    - eliminating the snails that are required to maintain the parasite’s life cycle.
   
   
For all species that cause schistosomiasis, improved sanitation could reduce or eliminate transmission of this disease. In some areas with lower transmission levels, elimination of schistosomiasis is considered a ""winnable battle"" by public health officials.
   
Control measures can include mass drug treatment of entire communities and targeted treatment of school-age children. Some of the problems with control of schistosomiasis include:
   
    - Chemicals used to eliminate snails in freshwater sources may harm other species of animals in the water and, if treatment is not sustained, the snails may return to those sites afterwards.
    - For certain species of the parasite, such as S. japonicum, animals such as cows or water buffalo can also be infected. Runoff from pastures (if the cows are infected) can contaminate freshwater sources.",prevent parasite schistosomiasis,prevention vaccine available best way prevent schistosomiasis take following step visiting live area schistosomiasis transmitted avoid swimming wading freshwater country schistosomiasis occurs swimming ocean chlorinated swimming pool safe drink safe water although schistosomiasis transmitted swallowing contaminated water mouth lip come contact water containing parasite could become infected water coming directly canal lake river stream spring may contaminated variety infectious organism either bring water rolling boil minute filter water drinking bring water rolling boil least minute kill harmful parasite bacteria virus present iodine treatment alone guarantee water safe free parasite water used bathing brought rolling boil minute kill cercaria cooled bathing avoid scalding water held storage tank least day safe bathing vigorous towel drying accidental brief water exposure may help prevent schistosoma parasite penetrating skin however rely vigorous towel drying alone prevent schistosomiasis contact potentially contaminated water overseas see health care provider returning travel discus testing schistosomiasis traveler control country schistosomiasis cause significant disease control effort usually focus reducing number infection people eliminating snail required maintain parasite life cycle specie cause schistosomiasis improved sanitation could reduce eliminate transmission disease area lower transmission level elimination schistosomiasis considered winnable battle public health official control measure include mass drug treatment entire community targeted treatment school age child problem control schistosomiasis include chemical used eliminate snail freshwater source may harm specie animal water treatment sustained snail may return site afterwards certain specie parasite japonicum animal cow water buffalo also infected runoff pasture cow infected contaminate freshwater source
information,What is (are) Parasites - Lice - Head Lice ?,"The head louse, or Pediculus humanus capitis, is a parasitic insect that can be found on the head, eyebrows, and eyelashes of people. Head lice feed on human blood several times a day and live close to the human scalp. Head lice are not known to spread disease.",parasite louse head louse,head louse pediculus humanus capitis parasitic insect found head eyebrow eyelash people head louse feed human blood several time day live close human scalp head louse known spread disease
